08:37:15 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:37:15 | INFO     | MQTTClient | mqtt_client.py:28 | MQTT连接成功
08:37:15 | INFO     | MQTTClient | mqtt_client.py:32 | 已订阅主题: CustomByteBlock
08:37:15 | DEBUG    | MQTTClient | mqtt_client.py:52 | MQTT订阅成功，消息ID: 1, QoS: (0,)
08:37:45 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:37:45 | INFO     | MQTTClient | mqtt_client.py:28 | MQTT连接成功
08:37:45 | INFO     | MQTTClient | mqtt_client.py:32 | 已订阅主题: CustomByteBlock
08:37:45 | DEBUG    | MQTTClient | mqtt_client.py:52 | MQTT订阅成功，消息ID: 1, QoS: (0,)
08:38:34 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:38:34 | INFO     | MQTTClient | mqtt_client.py:28 | MQTT连接成功
08:38:34 | INFO     | MQTTClient | mqtt_client.py:32 | 已订阅主题: CustomByteBlock
08:38:34 | DEBUG    | MQTTClient | mqtt_client.py:52 | MQTT订阅成功，消息ID: 1, QoS: (0,)
08:39:06 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:39:06 | INFO     | MQTTClient | mqtt_client.py:28 | MQTT连接成功
08:39:06 | INFO     | MQTTClient | mqtt_client.py:32 | 已订阅主题: CustomByteBlock
08:39:06 | DEBUG    | MQTTClient | mqtt_client.py:52 | MQTT订阅成功，消息ID: 1, QoS: (0,)
08:41:54 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:41:54 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 1
08:41:54 | DEBUG    | MQTTClient | mqtt_client.py:62 | 发布MQTT消息，主题: CustomByteBlock, 内容: Hello MQTT!
08:43:15 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 2
08:43:15 | DEBUG    | MQTTClient | mqtt_client.py:62 | 发布MQTT消息，主题: CustomByteBlock, 内容: b'Hello MQTT!'
08:43:51 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 3
08:43:51 | DEBUG    | MQTTClient | mqtt_client.py:62 | 发布MQTT消息，主题: CustomByteBlock, 内容: b'Hello MQTT!'
08:45:16 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:45:16 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 1
08:45:35 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 2
08:47:00 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
08:47:00 | DEBUG    | MQTTClient | mqtt_client.py:49 | MQTT消息发布成功，消息ID: 1
08:50:03 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
