19:47:36 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:37 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:38 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:39 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:40 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:41 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:42 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:43 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:44 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:45 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:46 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:47 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:48 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:49 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:50 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:51 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:52 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:53 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:54 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:55 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:56 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:57 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:58 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:47:59 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:00 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:01 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:02 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:03 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:04 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:05 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:06 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:07 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:08 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:09 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:10 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:11 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:12 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:13 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:14 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:15 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:16 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:17 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:18 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:19 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:20 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:21 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:22 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:23 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:24 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:25 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:26 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:27 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:28 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:29 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:30 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:31 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:32 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:33 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:34 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:35 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:36 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:37 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:38 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:39 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:40 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:41 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:42 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:43 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:44 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:45 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:46 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:47 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:48 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:49 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:50 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:51 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:52 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:53 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:54 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:55 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:56 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:57 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:58 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:59 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:00 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:01 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:02 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:03 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:04 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:05 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:06 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:07 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
