19:21:40 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:41 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:42 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:43 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:44 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:45 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:46 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:47 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:48 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:49 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:50 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:51 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:52 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:53 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:54 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:55 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:56 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:57 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:58 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:21:59 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:00 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:01 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:02 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:03 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:04 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:05 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:06 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:07 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:08 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:09 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:10 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:11 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:22:12 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:23:30 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:24:00 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:33 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:34 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:35 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:36 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:37 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:25:38 | WARNING  | MainApp | app.py:21 | 无法获取视频流数据，正在重试...
19:30:49 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:30:50 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:30:50 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:33:06 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:33:06 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:18 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:18 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:18 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:29 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:29 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:36:29 | WARNING  | MainApp | app.py:23 | 等待第一帧数据...
19:47:02 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:48:29 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:49:10 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:50:08 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:51:00 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:51:56 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
19:53:06 | INFO     | MainApp | app.py:35 | 视频流生成器已停止，UDP接收线程已关闭
