16:03:50 | WARNING  | UDPReceiver | rm_logger.py:157 | 端口 12345 不可用，自动分配端口 60752
16:03:50 | WARNING  | UDPReceiver | rm_logger.py:157 | UDP服务器已经在运行
16:04:37 | WARNING  | UDPReceiver | rm_logger.py:157 | 端口 12345 不可用，自动分配端口 61966
16:04:37 | WARNING  | UDPReceiver | rm_logger.py:157 | UDP服务器已经在运行
16:05:27 | INFO     | UDPReceiver | rm_logger.py:154 | UDP服务器已停止并关闭套接字
16:07:03 | WARNING  | UDPReceiver | rm_logger.py:157 | 端口 12345 不可用，自动分配端口 49284
16:07:03 | WARNING  | UDPReceiver | rm_logger.py:157 | UDP服务器已经在运行
16:07:17 | INFO     | UDPReceiver | rm_logger.py:154 | 收到退出信号，正在关闭UDP服务器...
16:07:17 | INFO     | UDPReceiver | rm_logger.py:154 | UDP服务器已停止并关闭套接字
16:08:14 | ERROR    | UDPReceiver | rm_logger.py:160 | 端口 12345 不可用
16:08:31 | WARNING  | UDPReceiver | rm_logger.py:157 | UDP服务器已经在运行
16:10:24 | INFO     | UDPReceiver | rm_logger.py:154 | 收到退出信号，正在关闭UDP服务器...
16:10:24 | INFO     | UDPReceiver | rm_logger.py:154 | UDP服务器已停止并关闭套接字
16:10:26 | INFO     | UDPReceiver | rm_logger.py:154 | UDP服务器线程已启动
16:10:26 | INFO     | UDPReceiver | rm_logger.py:154 | UDP服务器已启动，监听('127.0.0.1', 12346)，等待数据包...
16:11:23 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 0，总长度 22500 字节
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 0 已接收完整，尝试拼接
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 0 拼接成功，已更新最新帧数据
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 0 已成功拼接，准备显示
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 1，当前帧 0 已完成接收，尝试拼接上一帧
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 0 已接收完整，尝试拼接
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 0 拼接成功，已更新最新帧数据
16:11:25 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 1，总长度 22500 字节
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 1 已接收完整，尝试拼接
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 1 拼接成功，已更新最新帧数据
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 1 已成功拼接，准备显示
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 2，当前帧 1 已完成接收，尝试拼接上一帧
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 1 已接收完整，尝试拼接
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 1 拼接成功，已更新最新帧数据
16:11:26 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 2，总长度 22500 字节
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 2 已接收完整，尝试拼接
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 2 拼接成功，已更新最新帧数据
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 2 已成功拼接，准备显示
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 3，当前帧 2 已完成接收，尝试拼接上一帧
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 2 已接收完整，尝试拼接
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 2 拼接成功，已更新最新帧数据
16:11:28 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 3，总长度 22500 字节
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 3 已接收完整，尝试拼接
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 3 拼接成功，已更新最新帧数据
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 3 已成功拼接，准备显示
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 4，当前帧 3 已完成接收，尝试拼接上一帧
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 3 已接收完整，尝试拼接
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 3 拼接成功，已更新最新帧数据
16:11:30 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 4，总长度 22500 字节
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 4 已接收完整，尝试拼接
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 4 拼接成功，已更新最新帧数据
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 4 已成功拼接，准备显示
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 5，当前帧 4 已完成接收，尝试拼接上一帧
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 4 已接收完整，尝试拼接
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 4 拼接成功，已更新最新帧数据
16:11:32 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 5，总长度 22500 字节
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 5 已接收完整，尝试拼接
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 5 拼接成功，已更新最新帧数据
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 5 已成功拼接，准备显示
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 6，当前帧 5 已完成接收，尝试拼接上一帧
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 5 已接收完整，尝试拼接
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 5 拼接成功，已更新最新帧数据
16:11:34 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 6，总长度 22500 字节
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 已接收完整，尝试拼接
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 拼接成功，已更新最新帧数据
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 已成功拼接，准备显示
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 7，当前帧 6 已完成接收，尝试拼接上一帧
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 已接收完整，尝试拼接
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 拼接成功，已更新最新帧数据
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 7，总长度 22500 字节
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已接收完整，尝试拼接
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 拼接成功，已更新最新帧数据
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已成功拼接，准备显示
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 8，当前帧 7 已完成接收，尝试拼接上一帧
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已接收完整，尝试拼接
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 拼接成功，已更新最新帧数据
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 8，总长度 22500 字节
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已接收完整，尝试拼接
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 拼接成功，已更新最新帧数据
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已成功拼接，准备显示
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 9，当前帧 8 已完成接收，尝试拼接上一帧
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已接收完整，尝试拼接
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 拼接成功，已更新最新帧数据
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 9，总长度 22500 字节
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 已接收完整，尝试拼接
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 拼接成功，已更新最新帧数据
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 已成功拼接，准备显示
