19:21:40 | INFO     | UDPReceiver | udp_receiver.py:175 | UDP服务器线程已启动
19:21:40 | INFO     | UDPReceiver | udp_receiver.py:130 | UDP服务器已启动，监听('127.0.0.1', 12346)，等待数据包...
19:22:10 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 0，总长度 22500 字节
19:22:12 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 0 已接收完整，尝试拼接
19:22:12 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 0 拼接成功，已更新最新帧数据
19:22:12 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 1，总长度 22500 字节
19:22:14 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 1 已接收完整，尝试拼接
19:22:14 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 1 拼接成功，已更新最新帧数据
19:22:14 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 2，总长度 22500 字节
19:22:15 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 2 已接收完整，尝试拼接
19:22:15 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 2 拼接成功，已更新最新帧数据
19:22:15 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 3，总长度 22500 字节
19:22:17 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 3 已接收完整，尝试拼接
19:22:17 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 3 拼接成功，已更新最新帧数据
19:22:17 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 4，总长度 22500 字节
19:22:19 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 4 已接收完整，尝试拼接
19:22:19 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 4 拼接成功，已更新最新帧数据
19:22:19 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 5，总长度 22500 字节
19:22:21 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 5 已接收完整，尝试拼接
19:22:21 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 5 拼接成功，已更新最新帧数据
19:22:21 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 6，总长度 22500 字节
19:22:22 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 6 已接收完整，尝试拼接
19:22:22 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 6 拼接成功，已更新最新帧数据
19:22:23 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 7，总长度 22500 字节
19:22:24 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 7 已接收完整，尝试拼接
19:22:24 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 7 拼接成功，已更新最新帧数据
